namespace,kind,name,container,image,runtime,replicas,ports,env_keys,databases,external_urls,secrets,configmaps,pvcs,service_account,cpu_req,mem_req,cpu_lim,mem_lim,probes
petclinic,Deployment,petclinic,petclinic,petclinic:onprem,unknown,1,8080,2,jdbc:postgresql://postgres:5432/petclinic,,demo-db,petclinic-config,,petclinic,250m,512Mi,1,1Gi,liveness;readiness;startup
petclinic,StatefulSet,postgres,postgres,postgres:18.3,postgres,1,5432,4,,,demo-db,,data (vct),,100m,128Mi,500m,512Mi,liveness;readiness
